relative_path,size_bytes,category,num_lines
src/peft/tuners/hra/__init__.py,928,setup,24
src/peft/tuners/hra/config.py,7176,source,135
src/peft/tuners/hra/layer.py,19463,source,462
src/peft/tuners/hra/model.py,4623,source,122
src/peft/tuners/ia3/__init__.py,1388,setup,39
src/peft/tuners/ia3/bnb.py,4798,source,130
src/peft/tuners/ia3/config.py,6036,source,112
src/peft/tuners/ia3/layer.py,15284,source,336
src/peft/tuners/ia3/model.py,14005,source,322
src/peft/tuners/lily/__init__.py,958,setup,26
src/peft/tuners/lily/config.py,15129,source,237
src/peft/tuners/lily/layer.py,7033,source,183
src/peft/tuners/lily/model.py,6579,source,163
src/peft/tuners/ln_tuning/__init__.py,875,setup,23
src/peft/tuners/ln_tuning/config.py,3476,source,70
src/peft/tuners/ln_tuning/layer.py,4992,source,126
src/peft/tuners/ln_tuning/model.py,5533,source,137
src/peft/tuners/loha/__init__.py,967,setup,24
src/peft/tuners/loha/config.py,7674,source,143
src/peft/tuners/loha/layer.py,18716,source,435
src/peft/tuners/loha/model.py,4548,source,117
src/peft/tuners/lokr/__init__.py,951,setup,24
src/peft/tuners/lokr/config.py,8480,source,155
src/peft/tuners/lokr/layer.py,20416,source,501
src/peft/tuners/lokr/model.py,4611,source,118
src/peft/tuners/lora/__init__.py,2407,setup,83
src/peft/tuners/lora/aqlm.py,3418,source,105
src/peft/tuners/lora/arrow.py,20288,source,474
src/peft/tuners/lora/awq.py,3542,source,104
src/peft/tuners/lora/bnb.py,26983,source,591
src/peft/tuners/lora/config.py,66961,source,1159
src/peft/tuners/lora/conversion.py,20802,source,440
src/peft/tuners/lora/corda.py,16351,source,370
src/peft/tuners/lora/dora.py,12079,source,287
src/peft/tuners/lora/eetq.py,4481,source,123
src/peft/tuners/lora/eva.py,34848,source,734
src/peft/tuners/lora/gptq.py,4635,source,133
src/peft/tuners/lora/hqq.py,10526,source,246
src/peft/tuners/lora/inc.py,3156,source,80
src/peft/tuners/lora/intruders.py,8631,source,165
src/peft/tuners/lora/layer.py,123236,source,2637
src/peft/tuners/lora/loraga.py,7854,source,191
src/peft/tuners/lora/model.py,54118,source,1099
src/peft/tuners/lora/monteclora.py,10291,source,238
src/peft/tuners/lora/te.py,4656,source,134
src/peft/tuners/lora/torchao.py,6739,source,168
src/peft/tuners/lora/tp_layer.py,15258,source,362
src/peft/tuners/lora/variants.py,58162,source,1312
src/peft/tuners/lora/velora.py,4028,source,112
src/peft/tuners/lycoris_utils.py,10262,source,261
src/peft/tuners/miss/__init__.py,915,setup,24
src/peft/tuners/miss/config.py,7921,source,142
src/peft/tuners/miss/layer.py,16414,source,377
src/peft/tuners/miss/model.py,5200,source,141
src/peft/tuners/mixed/__init__.py,724,setup,18
src/peft/tuners/mixed/model.py,13919,source,313
src/peft/tuners/multitask_prompt_tuning/__init__.py,1025,setup,25
src/peft/tuners/multitask_prompt_tuning/config.py,2540,source,62
src/peft/tuners/multitask_prompt_tuning/model.py,5035,source,120
src/peft/tuners/oft/__init__.py,1581,setup,52
src/peft/tuners/oft/aqlm.py,2748,source,92
src/peft/tuners/oft/awq.py,2905,source,92
src/peft/tuners/oft/bnb.py,15068,source,361
src/peft/tuners/oft/config.py,12803,source,227
src/peft/tuners/oft/eetq.py,3448,source,102
src/peft/tuners/oft/gptq.py,3045,source,94
src/peft/tuners/oft/hqq.py,6923,source,173
src/peft/tuners/oft/inc.py,3037,source,78
src/peft/tuners/oft/layer.py,48894,source,1189
src/peft/tuners/oft/model.py,6923,source,185
src/peft/tuners/osf/__init__.py,336,setup,15
src/peft/tuners/osf/config.py,3601,source,80
src/peft/tuners/osf/layer.py,12033,source,289
src/peft/tuners/osf/model.py,4812,source,124
src/peft/tuners/osf/utils.py,5535,source,133
src/peft/tuners/p_tuning/__init__.py,965,setup,23
src/peft/tuners/p_tuning/config.py,2202,source,60
src/peft/tuners/p_tuning/model.py,5705,source,130
src/peft/tuners/peanut/__init__.py,1038,setup,27
src/peft/tuners/peanut/config.py,9211,source,192
src/peft/tuners/peanut/layer.py,9633,source,242
src/peft/tuners/peanut/model.py,3097,source,91
src/peft/tuners/poly/__init__.py,907,setup,24
src/peft/tuners/poly/config.py,4672,source,103
src/peft/tuners/poly/layer.py,6755,source,165
src/peft/tuners/poly/model.py,3645,source,104
src/peft/tuners/poly/router.py,2865,source,81
src/peft/tuners/prefix_tuning/__init__.py,891,setup,23
src/peft/tuners/prefix_tuning/config.py,1974,source,52
src/peft/tuners/prefix_tuning/model.py,4610,source,108
src/peft/tuners/prompt_tuning/__init__.py,935,setup,23
src/peft/tuners/prompt_tuning/config.py,3934,source,91
src/peft/tuners/prompt_tuning/model.py,4755,source,105
src/peft/tuners/psoft/__init__.py,933,setup,24
src/peft/tuners/psoft/config.py,18142,source,323
src/peft/tuners/psoft/layer.py,18915,source,500
src/peft/tuners/psoft/model.py,3106,source,84
src/peft/tuners/pvera/__init__.py,944,setup,26
src/peft/tuners/pvera/bnb.py,17516,source,413
src/peft/tuners/pvera/config.py,11116,source,210
src/peft/tuners/pvera/layer.py,13664,source,316
src/peft/tuners/pvera/model.py,10896,source,263
src/peft/tuners/randlora/__init__.py,1393,setup,40
src/peft/tuners/randlora/bnb.py,19767,source,451
src/peft/tuners/randlora/config.py,10177,source,200
src/peft/tuners/randlora/layer.py,15813,source,353
src/peft/tuners/randlora/model.py,15569,source,366
src/peft/tuners/road/__init__.py,1505,setup,47
src/peft/tuners/road/bnb.py,18072,source,405
src/peft/tuners/road/config.py,6942,source,126
src/peft/tuners/road/layer.py,17940,source,416
src/peft/tuners/road/model.py,5859,source,153
src/peft/tuners/shira/__init__.py,969,setup,27
src/peft/tuners/shira/config.py,6727,source,129
src/peft/tuners/shira/layer.py,9566,source,224
src/peft/tuners/shira/mask_functions.py,3056,source,72
src/peft/tuners/shira/model.py,4684,source,139
src/peft/tuners/tinylora/__init__.py,989,setup,25
src/peft/tuners/tinylora/config.py,10337,source,202
src/peft/tuners/tinylora/layer.py,24660,source,608
src/peft/tuners/tinylora/model.py,13308,source,306
src/peft/tuners/trainable_tokens/__init__.py,1059,setup,33
src/peft/tuners/trainable_tokens/config.py,4466,source,89
src/peft/tuners/trainable_tokens/layer.py,12654,source,274
src/peft/tuners/trainable_tokens/model.py,6011,source,135
src/peft/tuners/tuners_utils.py,110625,source,2319
src/peft/tuners/unilora/__init__.py,930,setup,22
src/peft/tuners/unilora/config.py,9684,source,220
src/peft/tuners/unilora/layer.py,10522,source,252
src/peft/tuners/unilora/model.py,10167,source,242
src/peft/tuners/vblora/__init__.py,925,setup,24
src/peft/tuners/vblora/config.py,10767,source,196
src/peft/tuners/vblora/layer.py,11710,source,260
src/peft/tuners/vblora/model.py,8139,source,201
src/peft/tuners/vera/__init__.py,932,setup,25
src/peft/tuners/vera/config.py,8255,source,162
src/peft/tuners/vera/layer.py,12907,source,299
src/peft/tuners/vera/model.py,10426,source,267
src/peft/tuners/waveft/__init__.py,937,setup,24
src/peft/tuners/waveft/config.py,14037,source,265
src/peft/tuners/waveft/constants.py,2772,source,96
src/peft/tuners/waveft/layer.py,13267,source,298
src/peft/tuners/waveft/model.py,7604,source,175
src/peft/tuners/waveft/wavelet.py,25732,source,513
src/peft/tuners/waveft/waverec2d.py,11981,source,316
src/peft/tuners/xlora/__init__.py,853,setup,23
src/peft/tuners/xlora/classifier.py,7580,source,195
src/peft/tuners/xlora/config.py,4731,source,102
src/peft/tuners/xlora/layer.py,9978,source,236
src/peft/tuners/xlora/model.py,21657,source,525
src/peft/utils/__init__.py,7022,setup,159
src/peft/utils/constants.py,18679,source,414
src/peft/utils/hotswap.py,28039,source,643
src/peft/utils/incremental_pca.py,14364,source,338
src/peft/utils/integrations.py,11564,source,295
src/peft/utils/loftq_utils.py,18751,source,427
src/peft/utils/merge_utils.py,10207,source,268
src/peft/utils/other.py,83680,source,1791
src/peft/utils/peft_types.py,6082,source,199
src/peft/utils/quantization_utils.py,14555,source,371
src/peft/utils/save_and_load.py,57478,source,1103
src/peft/utils/transformers_weight_conversion.py,30367,source,669
src/peft/utils/warning.py,677,source,17
tests/__init__.py,0,setup,0
tests/conftest.py,4138,setup,95
tests/regression/__init__.py,0,setup,0
tests/regression/test_regression.py,26070,test,698
tests/test_adamss_asa.py,10654,test,272
tests/test_adaption_prompt.py,19873,test,416
tests/test_arrow.py,20161,test,509
tests/test_auto.py,13216,test,289
tests/test_bdlora.py,9493,test,240
tests/test_boft.py,3482,test,84
tests/test_bufferdict.py,1678,test,48
tests/test_cartridge.py,11027,test,272
tests/test_common_gpu.py,96162,test,2240
tests/test_config.py,28390,test,637
tests/test_cpt.py,12364,test,305
tests/test_custom_models.py,316906,test,7391
tests/test_decoder_models.py,53573,test,1243
tests/test_deft.py,4624,test,111
tests/test_encoder_decoder_models.py,19626,test,556
tests/test_feature_extraction_models.py,16628,test,485
tests/test_frod.py,11983,test,273
tests/test_gptqmodel.py,21473,test,565
tests/test_gpu_examples.py,288892,test,6989
tests/test_helpers.py,30143,test,732
tests/test_hub_features.py,9746,test,227
tests/test_incremental_pca.py,6899,test,190
tests/test_initialization.py,263168,test,5826
tests/test_integrations.py,23609,test,492
tests/test_lora_conversion.py,32794,test,693
tests/test_lora_ga.py,16869,test,433
tests/test_lora_intruders.py,6915,test,150
tests/test_lora_megatron.py,7505,test,190
tests/test_lora_variants.py,16897,test,402
tests/test_lorafa.py,10030,test,287
tests/test_loraplus.py,3235,test,99
tests/test_low_level_api.py,34321,test,730
tests/test_mapping.py,2270,test,55
tests/test_mixed.py,39211,test,803
tests/test_multitask_prompt_tuning.py,12978,test,288
tests/test_osf.py,2468,test,72
tests/test_other.py,35365,test,777
tests/test_poly.py,3909,test,100
tests/test_pvera.py,10778,test,244
tests/test_quantization.py,12486,test,345
tests/test_randlora.py,11113,test,245
tests/test_seq_classifier.py,12384,test,405
tests/test_shira.py,13930,test,278
tests/test_stablediffusion.py,18867,test,475
tests/test_target_parameters.py,33600,test,685
tests/test_torch_compile.py,26206,test,593
tests/test_trainable_tokens.py,62477,test,1389
tests/test_tuners_utils.py,110977,test,2299
tests/test_unilora.py,9941,test,260
tests/test_vblora.py,10452,test,269
tests/test_velora.py,11746,test,343
tests/test_vera.py,10677,test,242
tests/test_vision_models.py,6611,test,160
tests/test_xlora.py,20864,test,480
tests/testing_common.py,91349,test,1925
tests/testing_utils.py,14285,test,375
tests/training/adapters.py,6506,test,170
tests/training/lora_tp.py,9617,test,237
tests/training/training.py,5399,test,161
